timestamp,player_code,question_id,answer_mode,answer_text,street_type,street_name,house_number
2025-11-19T14:53:13,anton,1,text,мама,,,
2025-11-19T15:09:21,anton,1,text,Польский костёл,,,
2025-11-19T15:09:46,anton,1,text,Польский костёл,,,
2025-11-19T15:10:21,anton,2,address,,переулок,Преображенский,6А
2025-11-19T15:10:56,anton,6,text,Л.Нобель,,,
2025-11-19T15:11:08,anton,6,text,Л. Нобель,,,
2025-11-19T15:20:25,anton,9,text,"Старая хлебная биржа, Новая хлебная биржа",,,
2025-11-19T15:33:24,anton,2,text,Музей Мологского края им. Н. М. Алексеева,,,
2025-11-19T15:33:36,anton,2,text,Музей Мологского края им. Н. М. Алексеева,,,
2025-11-19T15:35:59,anton_,2,text,Музей Мологского края им. Н. М. Алексеева,,,
2025-11-19T15:55:56,varia,1,text,Польский костёл,,,
2025-11-19T16:03:59,varia,6,text,Л. Нобель,,,
2025-11-20T13:01:27,varia,1,text,Польский костёл,,,
2025-11-20T13:48:36,varia,5,text,ывп,,,
2025-11-20T13:59:59,tania,10,text,Мельница купца Калашникова,,,
2025-11-20T14:03:03,tania,15,text,Пожарная каланча,,,
2025-11-20T14:16:46,tania,6,text,Л. Нобель,,,
2025-11-20T14:20:25,tania,6,text,Л. Нобель,,,
2025-11-20T14:24:24,tania,1,text,"ул. Герцена, 2",,,
2025-11-20T14:24:39,tania,1,address,,улица,Герцена,2
2025-11-20T14:25:19,tania,1,text,"ул. Пушкина, 57",,,
2025-11-20T14:25:35,tania,1,address,,улица,Пушкина,57
2025-11-20T14:38:01,tania,2,text,ывппв,,,
2025-11-20T14:44:19,tania,2,text,ыаыпы,,,
2025-11-20T14:44:30,tania,3,text,вмва,,,
2025-11-20T14:44:41,tania,3,text,Богемия,,,
2025-11-20T14:48:27,tania,6,text,Л. Нобель,,,
2025-11-20T14:58:21,tania,7,text,мм хз,,,
2025-11-20T15:00:52,tania,7,text,пупу,,,
2025-11-22T19:57:00,выаыва,1,text,польский костел,,,
2025-11-22T19:57:05,выаыва,1,text,Польский костел,,,
2025-11-22T19:57:19,выаыва,1,text,Польский костел,,,
2025-11-22T19:57:43,выаыва,1,text,польский костел,,,
2025-11-22T19:57:48,выаыва,1,text,Польский костел,,,
2025-11-22T19:57:54,выаыва,1,text,Польский костёл,,,
2025-11-22T19:58:08,выаыва,1,text,Польский костёл,,,
2025-11-22T19:58:15,выаыва,2,text,Музей Мологского края им. Н. М. Алексеева,,,
2025-11-22T19:58:39,выаыва,1,text,польский костел,,,
2025-11-22T19:58:49,выаыва,1,text,польский костел,,,
